DATE_TIME_ID,ENODEB,EUTRANCELL,RRC_ATTEMPTS,RRC_FAIL,S1_ATTEMPTS,S1_FAIL,DATA_ACC,DATA_ERAB_ATTEMPTS,DATA_ERAB_FAIL,VOLTE_ACC,V_ERAB5_ATTEMPTS,V_ERAB5_FAIL,V_ERAB1_ATTEMPTS,V_ERAB1_FAIL,DATA_RET,DATA_DROPS,VOLTE_RET,VOLTE_DROPS,VOLTE_DROPS_NOCRE,ERAB_REL_S1_OUTAGE,ERAB_REL_ENB_RNL_UEL,ERAB_REL_HO_FAIL_TIM,ERAB_REL_ENB_RNL_RRNA,EPC_EPS_BEARER_REL_REQ_RNL,EPC_EPS_BEARER_REL_REQ_OTH,ERAB_REL_ABNORMAL_ACT_MME,D_DL_PLOSS,D_UL_PLOSS,RSSI_PUCCH_AVG,RSSI_PUSCH_AVG,D_DL_TPUT_MBPS,D_UL_TPUT_MBPS,D_DL_VOL_GB,D_UL_VOL_GB,D_IRAT_RDR_RT,D_IERFHO_SR,D_IRAFHO_SR,RRC_CONN_UE,RLC_PDU_DL_VOL_CA_PCELL,RLC_PDU_DL_VOL_CA_SCELL,CELLDOWNTIME_MANUAL,CELLDOWNTIME_AUTO,CELLDOWNTIME_TXN,CELL_SLEEP,DL_PRB_USAGE,UL_PRB_USAGE
2/7/22,DTL01005,DTL01005_2A_1,274544,14,274530,0,99.99,272616,15,99.96,252116,14,3507,1,99.86,688,99.97,1,54,0,36,7,0,681,2,139,0.22,0.05,-111.41,-106.25,17.68,1.39,79.46,14.16,0,99.85,99.98,52,32382.92,45427.62,0,0,0,0,36.27,29.51
2/8/22,DTL01005,DTL01005_2A_1,272209,6,272203,0,99.99,271161,14,99.93,249948,12,3455,2,99.84,788,99.97,1,13,0,30,12,0,731,8,188,0.2,0.04,-111.57,-106.13,17.97,0.96,106.52,11.26,0,99.89,99.88,55,38824.33,55649.92,0,0,0,0,40.32,27.25
2/9/22,DTL01005,DTL01005_2A_1,267183,24,267159,0,99.98,265462,21,99.77,247135,22,3510,7,99.82,905,100,0,231,0,38,8,0,1062,0,134,0.19,0.04,-111.16,-106.26,19.42,1.01,93.59,10.45,0,99.76,99.96,50,38182.35,49889.36,0,0,0,0,37.14,25.06
2/10/22,DTL01005,DTL01005_2A_1,261356,11,261345,0,99.99,259926,9,99.93,240134,6,3352,2,99.85,721,99.93,2,120,0,40,5,0,764,0,122,0.16,0.05,-111.41,-106.09,20.2,1.16,90.17,11.53,0,99.82,99.98,51,36011.37,48650.12,0,0,0,0,36.01,24.74
2/11/22,DTL01005,DTL01005_2A_1,259104,14,259090,0,99.99,259222,4,99.99,233526,5,3561,0,99.85,708,100,0,118,0,34,4,0,775,0,128,0.2,0.06,-111.47,-106.24,17.92,1.74,83.11,16.88,0,99.9,99.96,50,30215.12,42171.26,0,0,0,0,36.6,26.28
2/12/22,DTL01005,DTL01005_2A_1,279934,21,279913,0,99.98,277838,39,99.95,253985,31,2938,1,99.85,779,99.96,1,47,0,143,37,0,631,0,146,0.22,0.04,-111.05,-107.02,17.61,1.48,81.81,22.29,0,99.52,99.93,50,31602.31,46290.43,0,0,0,0,36.63,32.58
2/13/22,DTL01005,DTL01005_2A_1,294559,5,294554,1,100,290887,3,99.96,274158,3,2590,1,99.88,636,100,0,3,0,40,4,0,581,0,156,0.22,0.02,-110.74,-105.69,17.41,1.48,76.93,15.25,0,99.91,99.96,54,29228.89,43748.85,0,0,0,0,34.76,29.56
2/14/22,DTL01005,DTL01005_2A_1,289695,5,289690,0,100,288118,8,99.91,264576,7,3799,3,99.85,791,99.97,1,97,0,38,2,0,819,0,143,0.2,0.04,-111.13,-105.86,15.53,1.91,73.23,18.81,0,99.88,99.98,55,28868.3,42296.42,0,0,0,0,37.14,28.14
2/15/22,DTL01005,DTL01005_2A_1,284601,9,284592,2,99.99,284542,8,99.97,259205,6,3654,1,99.84,843,100,0,27,0,47,4,0,809,0,198,0.21,0.03,-111.24,-105.61,17.46,1.98,83.34,19.92,0,99.83,99.96,55,30334.65,44029.04,0,0,0,0,35.93,29.57
2/16/22,DTL01005,DTL01005_2A_1,271359,4,271355,0,99.99,269822,11,99.97,249687,10,3680,1,99.82,893,99.97,1,31,0,35,11,0,854,0,182,0.17,0.04,-111.53,-105.45,16.47,2.09,89.29,19.79,0,99.75,99.98,54,36304.84,53681.76,0,0,0,0,41.49,28.86
